# 中国近现代史纲要400题分章节真题集（含答案）

## 第一部分 单项选择题（180题）

### 第一章 反对外国侵略的斗争（20题）

1. 中国近代史的开端是（）
A. 鸦片战争
B. 甲午中日战争
C. 八国联军侵华战争
D. 中法战争
**答案：A**

2. 近代中国社会的性质是（）
A. 封建社会
B. 资本主义社会
C. 半殖民地半封建社会
D. 新民主主义社会
**答案：C**

3. 近代中国社会最主要的矛盾是（）
A. 地主阶级与农民阶级的矛盾
B. 帝国主义与中华民族的矛盾
C. 封建主义与人民大众的矛盾
D. 无产阶级与资产阶级的矛盾
**答案：B**

4. 中国近代史上第一个不平等条约是（）
A. 《南京条约》
B. 《马关条约》
C. 《辛丑条约》
D. 《天津条约》
**答案：A**

5. 割占香港岛的不平等条约是（）
A. 《南京条约》
B. 《北京条约》
C. 《马关条约》
D. 《辛丑条约》
**答案：A**

6. 近代中国人民第一次大规模的反侵略武装斗争是（）
A. 三元里人民抗英斗争
B. 太平天国运动
C. 义和团运动
D. 抗日战争
**答案：A**

7. 提出"师夷长技以制夷"思想的是（）
A. 魏源
B. 林则徐
C. 龚自珍
D. 严复
**答案：A**

8. 标志着中国半殖民地半封建社会完全形成的条约是（）
A. 《南京条约》
B. 《马关条约》
C. 《辛丑条约》
D. 《北京条约》
**答案：C**

9. 甲午中日战争中，在黄海海战中壮烈殉国的清军将领是（）
A. 邓世昌
B. 林永升
C. 刘步蟾
D. 丁汝昌
**答案：A**

10. 近代中国睁眼看世界的第一人是（）
A. 魏源
B. 林则徐
C. 严复
D. 康有为
**答案：B**

11. 资本-帝国主义列强对中国的侵略，首先和主要的是（）
A. 军事侵略
B. 政治控制
C. 经济掠夺
D. 文化渗透
**答案：A**

12. 太平天国运动爆发的根本原因是（）
A. 阶级矛盾的激化
B. 外国资本主义的入侵
C. 自然灾害的严重
D. 西方宗教的影响
**答案：A**

13. 义和团运动的口号是（）
A. 反清复明
B. 扶清灭洋
C. 驱除鞑虏，恢复中华
D. 平均地权
**答案：B**

14. 近代中国人民反侵略斗争失败的根本原因是（）
A. 经济技术的落后
B. 社会制度的腐败
C. 武器装备的落后
D. 指挥不当
**答案：B**

15. 割占中国台湾全岛及所有附属岛屿的条约是（）
A. 《南京条约》
B. 《马关条约》
C. 《辛丑条约》
D. 《北京条约》
**答案：B**

16. 近代中国向西方学习的第一个层次是（）
A. 学习西方的思想文化
B. 学习西方的政治制度
C. 学习西方的科学技术
D. 学习西方的生活方式
**答案：C**

17. 严复翻译的《天演论》宣传的思想是（）
A. 师夷长技以制夷
B. 物竞天择，适者生存
C. 中学为体，西学为用
D. 变法维新
**答案：B**

18. 资本-帝国主义列强在中国设立的租界，实质上是（）
A. 帝国主义国家的殖民地
B. 帝国主义国家的势力范围
C. 独立于中国主权之外的国中之国
D. 帝国主义国家的军事基地
**答案：C**

19. 近代中国人民的两大历史任务是（）
A. 争取民族独立、人民解放和实现国家富强、人民富裕
B. 推翻封建统治和建立资产阶级共和国
C. 打倒帝国主义和推翻国民党的反动统治
D. 实现共产主义和建设社会主义
**答案：A**

20. 中国近代史上中国人民第一次自发的大规模抵抗外国侵略的斗争是（）
A. 三元里人民抗英斗争
B. 太平天国运动
C. 义和团运动
D. 抗日战争
**答案：A**

### 第二章 对国家出路的早期探索（20题）

21. 太平天国运动颁布的最能体现其社会理想的纲领性文件是（）
A. 《原道觉世训》
B. 《天朝田亩制度》
C. 《资政新篇》
D. 《十款天条》
**答案：B**

22. 《天朝田亩制度》的核心内容是（）
A. 废除封建地主土地所有制
B. 实行农民土地所有制
C. 平均分配土地
D. 按人口和年龄分配土地
**答案：C**

23. 《资政新篇》的作者是（）
A. 洪秀全
B. 杨秀清
C. 洪仁玕
D. 石达开
**答案：C**

24. 《资政新篇》是中国近代史上第一个具有资本主义色彩的改革方案，其提出者是（）
A. 林则徐
B. 魏源
C. 洪仁玕
D. 康有为
**答案：C**

25. 太平天国运动失败的根本原因是（）
A. 中外反动势力的联合绞杀
B. 农民阶级的局限性
C. 领导集团的内部矛盾
D. 战略战术的失误
**答案：B**

26. 洋务运动的指导思想是（）
A. 师夷长技以制夷
B. 中学为体，西学为用
C. 自强、求富
D. 变法维新
**答案：B**

27. 洋务运动的根本目的是（）
A. 发展资本主义
B. 维护清朝的封建统治
C. 抵御外国侵略
D. 实现国家富强
**答案：B**

28. 洋务派创办的第一个军事工业是（）
A. 江南制造总局
B. 安庆内军械所
C. 福州船政局
D. 天津机器制造局
